[255 255 255]
[249 255 255]
[244 255 255]
[239 255 255]
[234 255 255]
[229 255 255]
[224 255 255]
[219 255 255]
[214 255 255]
[209 255 255]
[204 255 255]
[198 255 255]
[193 255 255]
[188 255 255]
[183 255 255]
[178 255 255]
[173 255 255]
[168 255 255]
[163 255 255]
[158 255 255]
[153 255 255]
[147 255 255]
[142 255 255]
[137 255 255]
[132 255 255]
[127 255 255]
[122 255 255]
[117 255 255]
[112 255 255]
[107 255 255]
[102 255 255]
[ 96 255 255]
[ 91 255 255]
[ 86 255 255]
[ 81 255 255]
[ 76 255 255]
[ 71 255 255]
[ 66 255 255]
[ 61 255 255]
[ 56 255 255]
[ 51 255 255]
[ 45 255 255]
[ 40 255 255]
[ 35 255 255]
[ 30 255 255]
[ 25 255 255]
[ 20 255 255]
[ 15 255 255]
[ 10 254 254]
[  5 255 255]
[  0 255 255]
[  0 252 255]
[  0 250 255]
[  0 248 255]
[  0 246 255]
[  0 244 255]
[  0 242 255]
[  0 240 255]
[  0 238 255]
[  0 236 255]
[  0 234 255]
[  0 232 255]
[  0 230 255]
[  0 228 255]
[  0 226 255]
[  0 224 255]
[  0 222 255]
[  0 220 255]
[  0 218 255]
[  0 216 255]
[  0 214 255]
[  0 212 255]
[  0 210 255]
[  0 208 255]
[  0 206 255]
[  0 204 255]
[  0 201 255]
[  0 199 255]
[  0 197 255]
[  0 195 255]
[  0 193 255]
[  0 191 255]
[  0 189 255]
[  0 187 255]
[  0 185 255]
[  0 183 255]
[  0 181 255]
[  0 179 255]
[  0 177 255]
[  0 175 255]
[  0 173 255]
[  0 171 255]
[  0 169 255]
[  0 167 255]
[  0 165 255]
[  0 163 255]
[  0 161 255]
[  0 159 255]
[  0 157 255]
[  0 155 255]
[  0 153 255]
[  0 149 255]
[  0 146 255]
[  0 143 255]
[  0 140 255]
[  0 137 255]
[  0 134 255]
[  0 131 255]
[  0 128 255]
[  0 125 255]
[  0 122 255]
[  0 119 255]
[  0 116 255]
[  0 113 255]
[  0 110 255]
[  0 107 255]
[  0 104 255]
[  0 100 255]
[  0  97 255]
[  0  94 255]
[  0  91 255]
[  0  88 255]
[  0  85 255]
[  0  82 255]
[  0  79 255]
[  0  76 255]
[  0  73 255]
[  0  70 255]
[  0  67 255]
[  0  64 255]
[  0  61 255]
[  0  58 255]
[  0  55 255]
[  0  52 255]
[  0  48 255]
[  0  42 255]
[  0  39 255]
[  0  36 255]
[  0  33 255]
[  0  30 255]
[  0  27 255]
[  0  24 255]
[  0  18 255]
[  0  15 255]
[  0  12 255]
[  0   6 254]
[  0   3 255]
[  0   0 255]
[  0   0 253]
[  0   0 252]
[  0   0 251]
[  0   0 248]
[  0   0 246]
[  0   0 244]
[  0   0 243]
[  0   0 240]
[  0   0 239]
[  0   0 238]
[  0   0 237]
[  0   0 235]
[  0   0 234]
[  0   0 233]
[  0   0 230]
[  0   0 229]
[  0   0 228]
[  0   0 225]
[  0   0 224]
[  0   0 223]
[  0   0 220]
[  0   0 219]
[  0   0 217]
[  0   0 215]
[  0   0 212]
[  0   0 210]
[  0   0 207]
[  0   0 206]
[  0   0 205]
[  0   0 202]
[  0   0 201]
[  0   0 199]
[  0   0 197]
[  0   0 196]
[  0   0 194]
[  0   0 192]
[  0   0 191]
[  0   0 189]
[  0   0 187]
[  0   0 186]
[  0   0 185]
[  0   0 183]
[  0   0 182]
[  0   0 181]
[  0   0 179]
[  0   0 178]
[  0   0 177]
[  0   0 176]
[  0   0 174]
[  0   0 173]
[  0   0 172]
[  0   0 170]
[  0   0 168]
[  0   0 167]
[  0   0 166]
[  0   0 164]
[  0   0 162]
[  0   0 161]
[  0   0 160]
[  0   0 159]
[  0   0 158]
[  0   0 156]
[  0   0 155]
[  0   0 154]
[  0   0 153]
[  0   0 152]
[  0   0 150]
[  0   0 148]
[  0   0 147]
[  0   0 146]
[  0   0 145]
[  0   0 144]
[  0   0 143]
[  0   0 142]
[  0   0 140]
[  0   0 137]
[  0   0 136]
[  0   0 134]
[  0   0 132]
[  0   0 130]
[  0   0 129]
[  0   0 126]
[  0   0 124]
[  0   0 122]
[  0   0 121]
[  0   0 118]
[  0   0 117]
[  0   0 116]
[  0   0 114]
[  0   0 113]
[  0   0 111]
[  0   0 109]
[  0   0 108]
[  0   0 107]
[  0   0 105]
[  0   0 103]
[  0   0 100]
[ 0  0 99]
[ 0  0 97]
[ 0  0 96]
[ 0  0 95]
[ 0  0 92]
[ 0  0 91]
[ 0  0 89]
[ 0  0 88]
[ 0  0 87]
[ 0  0 84]
[ 0  0 81]
[ 0  0 80]
[ 0  0 79]
[ 0  0 78]
[ 0  0 76]
[ 0  0 74]
